"Age.dpc."	"Date"	"Strain"	"Weight"	"Litter"	"Weekday"	"indata"	"age"	"poids"	"portee"	"agerel"	"poidscor"	"agecor"	"agepreditsanscor"	"poidscor2"	"agecor2"	"dev"	"dev.inf"	"dev.sup"
"391"	12.5	"1/21/2014"	"DUHi"	67	"DA"	3	FALSE	12.5	4.20469261939097	"DA"	-2.5	4.0619024221465	12.3783378926841	12.6448828634323	4.14329283457584	12.5302685260106	12.6337466956558	12.2719975778042	12.9754487695169
"392"	12.5	"1/21/2014"	"DUHi"	83	"DA"	3	FALSE	12.5	4.4188406077966	"DA"	-2.5	4.27605041055213	12.7780857073582	13.0446306781064	4.35744082298148	12.9300163406847	13.033369295694	12.7072416139432	13.3423078935664
"393"	13.5	"03/16/16"	"DUHi"	104	"DAI"	4	FALSE	13.5	4.64439089914137	"DAI"	-1.5	4.54398895089404	13.2782437838645	13.4656630526595	4.60121806139502	13.3850727670776	13.4569500187029	13.1648717524284	13.7313768247826
"394"	13.5	"03/16/16"	"DUHi"	110	"DAI"	4	FALSE	13.5	4.70048036579242	"DAI"	-1.5	4.60007841754508	13.3829454057986	13.5703646745936	4.65730752804606	13.4897743890117	13.5614195164106	13.2772494221231	13.8283492397605
"395"	13.5	"03/16/16"	"DUHi"	111	"DAI"	4	FALSE	13.5	4.70953020131233	"DAI"	-1.5	4.609128253065	13.3998386393012	13.5872579080962	4.66635736356598	13.5066676225143	13.578274679374	13.2953190327898	13.8442869738736
"396"	13.5	"03/16/16"	"DUHi"	114	"DAI"	4	FALSE	13.5	4.7361984483945	"DAI"	-1.5	4.63579650014716	13.4496199777656	13.6370392465605	4.69302561064814	13.5564489609787	13.627762933311	13.3484208091346	13.8907744647723
"397"	13.5	"03/16/16"	"DUHi"	118	"DAI"	4	FALSE	13.5	4.77068462446567	"DAI"	-1.5	4.67028267621833	13.5139949626699	13.7014142314649	4.72751178671931	13.6208239458831	13.6919381096308	13.4179387046042	13.9507899628759
"398"	13.5	"03/16/16"	"DUHi"	119	"DAI"	4	FALSE	13.5	4.77912349311153	"DAI"	-1.5	4.67872154486419	13.529747710686	13.717166979481	4.73595065536517	13.6365766938992	13.7077538955585	13.4354633395946	13.9656394304451
"399"	13.5	"03/16/16"	"DUHi"	120	"DAI"	4	FALSE	13.5	4.78749174278205	"DAI"	-1.5	4.68708979453471	13.545368634998	13.7327879037929	4.74431890503569	13.6521976182111	13.7233357891857	13.4521865329733	13.9802758814886
"400"	13.5	"03/16/16"	"DUHi"	124	"DAI"	4	FALSE	13.5	4.82028156560504	"DAI"	-1.5	4.7198796173577	13.6065770550006	13.7939963237955	4.77710872785868	13.7134060382137	13.7844605841853	13.5180193006892	14.0384404792971
"401"	13.5	"03/16/16"	"DUHi"	129	"DAI"	4	FALSE	13.5	4.85981240436167	"DAI"	-1.5	4.75941045611434	13.6803688590836	13.8677881278785	4.81663956661532	13.7871978422967	13.8583209222993	13.5960246726433	14.1082890778228
"402"	13.5	"03/16/16"	"DUHi"	132	"DAI"	4	FALSE	13.5	4.88280192258637	"DAI"	-1.5	4.78239997433903	13.7232831527884	13.9107024215834	4.83962908484002	13.8301121360015	13.90099940589	13.6416804089836	14.1493064838844
"403"	13.5	"1/20/2014"	"DUHi"	102	"DB"	2	FALSE	13.5	4.62497281328427	"DB"	-1.5	4.43624417213138	13.0771177299913	13.4294155144766	4.54381949758853	13.2779274671479	13.4115477809194	13.1111210167601	13.6887505465123
"404"	13.5	"1/20/2014"	"DUHi"	104	"DB"	2	FALSE	13.5	4.64439089914137	"DB"	-1.5	4.45566225798848	13.1133652681742	13.4656630526595	4.56323758344563	13.3141750053308	13.4476369426853	13.1504951417367	13.7228786017639
